temperature_c,rainfall_mm,humidity_percent,solar_radiation_w_m2,soil_nutrients_index,soil_moisture_percent,soil_ph,organic_matter_percent,electrical_conductivity_ds_m,soil_type,area_type,crop_yield_ton_per_hectare
30.97,2260.85,72.05,222.92,31.28,40.17,6.88,1.77,1.2,silt,riverine,0.74
31.1,2104.92,83.1,243.84,33.41,26.86,4.88,6.21,1.04,silt,tropical,1.57
24.26,724.28,66.83,227.6,43.82,33.03,6.39,1.76,1.36,silt,hilly,0.97
30.07,2301.55,83.99,231.7,84.17,57.86,6.22,3.29,1.13,chalk,riverine,3.21
28.5,1739.12,88.89,211.94,88.01,43.07,6.75,3.62,0.9,peat,riverine,2.15
28.79,1414.34,65.63,202.63,78.67,35.66,6.13,2.58,2.77,clay,tropical,2.45
33.08,140.54,35.95,320.83,91.05,33.81,8.15,2.61,1.78,loam,arid,1.57
19.19,647.55,58.95,213.01,60.5,26.75,6.38,5.29,0.82,chalk,inland,2.04
29.42,2087.33,81.69,256.46,75.66,61.83,5.81,4.0,1.14,chalk,tropical,2.21
29.37,2374.63,71.93,181.6,32.27,43.09,6.03,3.22,0.92,loam,riverine,1.38
26.26,1109.86,49.77,241.83,43.65,42.08,5.21,3.4,1.29,silt,inland,1.15
29.98,1434.97,94.93,268.08,45.45,42.09,7.57,5.1,0.55,peat,coastal,2.41
25.18,2056.89,77.32,220.1,29.73,37.02,5.95,3.16,2.04,loam,riverine,0.68
30.1,1538.37,76.73,259.59,50.55,43.74,6.34,1.33,1.32,loam,tropical,1.09
31.37,2340.87,61.5,118.66,57.7,40.36,6.38,3.35,1.68,peat,coastal,2.55
27.37,2022.96,73.76,221.56,83.1,42.78,6.52,4.68,0.1,peat,tropical,3.51
24.07,1348.08,47.28,219.91,44.35,59.64,7.0,4.89,0.34,sandy,hilly,0.89
26.91,1316.69,51.16,225.72,63.05,37.45,7.15,4.66,0.1,loam,inland,1.4
28.67,2000.25,70.45,161.34,52.14,15.56,6.3,3.59,1.64,peat,coastal,2.26
32.67,387.53,26.15,280.71,51.2,57.88,6.33,1.75,2.77,sandy,arid,0.85
26.59,2341.49,88.1,244.45,56.1,13.41,6.52,3.06,1.41,chalk,tropical,2.17
21.49,1803.58,77.68,198.08,68.41,31.63,5.31,3.39,1.55,clay,riverine,2.09
33.36,1682.44,87.13,200.24,58.38,60.3,6.28,2.39,1.21,chalk,coastal,2.67
28.25,1793.14,95.99,238.02,81.69,15.93,6.07,0.5,0.46,sandy,tropical,2.09
33.95,2601.53,71.09,258.96,46.94,22.54,6.87,4.26,1.5,silt,tropical,1.69
26.01,1823.74,81.62,272.69,64.76,53.83,6.32,3.64,1.31,clay,tropical,2.58
25.86,2154.98,72.11,230.72,74.57,44.26,5.68,3.33,1.16,clay,coastal,2.15
25.65,1455.11,70.91,207.99,56.61,35.59,5.61,4.04,1.49,clay,coastal,1.92
32.22,2397.01,87.21,285.55,88.98,31.04,5.27,2.38,0.4,loam,tropical,2.39
44.56,210.56,34.76,282.52,63.16,35.9,6.88,5.03,2.02,chalk,arid,2.09
25.84,1911.66,73.64,218.4,75.99,34.16,6.27,1.63,1.06,sandy,riverine,2.57
26.67,810.65,47.08,200.37,37.29,34.02,6.65,0.5,0.66,clay,inland,1.21
34.47,2139.55,55.53,295.3,25.0,39.8,6.73,2.71,1.94,silt,tropical,2.03
38.19,168.18,19.41,226.19,79.95,22.37,7.64,1.09,1.69,sandy,arid,1.79
26.07,755.85,54.24,281.61,64.54,31.09,7.26,5.98,1.82,loam,inland,1.36
30.22,2323.25,83.69,132.18,74.95,47.76,6.21,5.97,0.8,loam,tropical,3.26
30.56,574.66,69.55,302.28,76.4,23.74,6.17,2.72,1.25,loam,inland,1.74
32.83,2886.37,74.74,289.9,74.88,50.54,5.81,3.87,1.62,peat,tropical,3.03
33.9,2212.38,68.73,186.09,44.26,15.72,8.02,4.46,1.04,loam,coastal,1.78
28.06,1889.18,85.98,234.19,53.37,28.63,6.6,4.92,1.75,peat,tropical,2.12
32.62,2458.16,89.81,181.04,65.06,30.95,7.57,4.09,0.91,chalk,tropical,1.98
27.78,1264.2,90.44,220.06,64.23,17.9,6.06,3.24,0.1,peat,tropical,1.7
22.68,2257.18,69.04,198.28,36.35,53.45,5.34,2.96,0.55,peat,tropical,2.17
28.65,160.67,40.06,330.47,75.27,30.02,6.96,2.61,1.63,chalk,arid,1.57
20.35,2191.3,67.21,157.04,37.69,6.78,8.5,5.15,2.09,silt,hilly,1.5
35.87,335.36,48.79,304.96,66.36,57.82,8.01,3.28,1.28,sandy,arid,2.57
39.53,221.3,17.27,315.32,67.68,47.79,5.6,4.19,2.5,chalk,arid,1.22
32.62,2133.91,86.09,257.15,45.92,26.15,6.07,1.98,1.17,silt,coastal,1.96
32.26,2214.92,69.59,181.03,81.81,25.37,7.37,3.88,1.74,chalk,tropical,2.11
35.18,95.17,29.41,321.43,77.9,37.83,6.43,3.51,1.61,sandy,arid,1.68
27.12,577.58,75.1,275.0,92.77,21.09,7.69,2.53,1.59,loam,inland,1.65
23.61,2632.04,78.76,199.6,71.29,27.17,6.19,4.0,1.41,loam,tropical,2.87
30.98,2030.05,64.36,250.63,45.33,41.49,7.59,2.12,2.04,peat,coastal,2.23
28.39,1978.83,78.24,165.24,67.48,38.37,6.75,3.08,1.04,clay,riverine,2.51
27.57,1906.57,75.85,223.43,77.3,31.14,8.41,5.97,1.1,peat,riverine,2.26
26.76,1969.34,81.77,266.42,24.05,33.43,7.54,4.04,1.63,peat,coastal,1.12
28.39,1116.62,70.83,247.14,113.1,40.6,7.12,5.59,1.62,loam,inland,2.97
23.37,800.28,83.65,227.92,60.96,21.69,7.06,3.71,1.05,loam,riverine,1.64
29.42,988.25,80.6,214.08,84.8,19.72,6.36,1.35,1.55,chalk,coastal,2.46
23.22,2382.85,70.98,236.29,81.22,47.48,4.62,4.16,1.18,loam,riverine,3.4
32.23,2212.46,84.92,239.88,47.23,51.41,6.47,4.89,1.25,clay,tropical,2.19
18.92,1976.13,71.34,207.49,56.86,36.33,6.93,5.16,1.74,silt,hilly,2.3
17.1,1409.17,73.75,184.04,58.14,54.66,6.5,4.33,1.88,silt,hilly,2.66
28.91,347.62,38.93,262.91,28.45,33.81,5.9,2.18,1.45,chalk,arid,0.85
27.01,1426.91,93.93,196.74,93.42,40.96,7.09,5.61,0.68,loam,coastal,2.65
34.19,1166.37,80.16,219.15,46.33,48.29,5.02,4.93,1.16,clay,tropical,1.66
27.63,840.0,35.5,263.67,38.14,36.14,6.36,1.44,2.25,sandy,inland,1.42
24.4,830.7,45.19,264.28,10.0,15.55,5.73,3.49,0.57,chalk,inland,0.75
23.36,1691.64,65.73,212.61,51.92,33.47,5.35,4.03,1.36,clay,tropical,1.68
32.86,1859.36,88.56,254.15,57.7,25.83,6.62,2.7,0.1,silt,tropical,2.52
21.89,916.94,63.6,137.23,79.75,34.94,5.19,2.52,0.97,silt,inland,1.92
30.88,2079.98,78.19,187.63,48.68,19.85,6.91,5.37,1.71,chalk,coastal,1.73
36.09,1679.69,69.12,179.43,43.2,44.77,5.92,3.24,1.26,sandy,riverine,2.31
37.66,260.43,28.56,309.17,37.65,41.33,7.27,1.32,1.86,clay,arid,1.05
40.24,24.56,42.91,345.5,61.29,35.42,5.22,3.86,0.96,sandy,arid,1.17
36.06,358.57,42.35,363.59,26.86,53.5,7.3,4.22,0.21,chalk,arid,1.33
27.94,1557.97,84.9,163.15,62.58,43.46,6.43,4.2,1.12,clay,tropical,2.7
33.03,820.87,53.89,208.11,71.61,27.38,5.03,3.81,1.86,peat,inland,1.33
21.82,624.97,43.22,269.53,92.59,44.56,5.11,3.32,2.37,clay,inland,2.34
27.9,526.3,58.06,266.35,81.06,34.22,5.53,5.71,1.25,chalk,inland,2.74
26.04,1091.95,80.01,226.24,53.44,41.36,6.11,5.46,1.15,peat,riverine,1.95
21.78,1008.89,68.61,142.32,54.45,40.39,6.72,4.92,1.24,chalk,inland,2.09
28.15,1075.91,30.93,203.33,94.1,44.06,6.76,3.46,1.54,peat,inland,2.4
14.59,1350.81,59.52,194.18,72.24,18.75,6.38,3.0,1.32,loam,hilly,2.01
28.87,1958.31,78.6,194.98,66.27,40.18,8.5,3.63,1.21,clay,riverine,2.49
28.36,1277.64,76.03,261.6,37.33,28.29,5.75,6.47,2.22,loam,tropical,2.25
27.95,1912.76,67.96,177.49,51.66,38.9,5.41,4.81,1.22,clay,riverine,1.41
29.57,1965.05,87.05,269.34,61.45,39.31,6.16,3.85,0.23,loam,tropical,1.93
24.4,2092.28,84.79,222.7,88.37,55.84,7.74,2.07,1.09,chalk,hilly,2.91
32.5,185.44,21.34,301.03,34.58,38.92,7.07,3.95,0.63,loam,arid,1.26
29.63,1936.08,59.41,172.56,57.87,38.5,5.16,2.14,0.1,silt,coastal,2.15
25.56,1158.68,69.6,205.45,64.15,41.89,5.75,3.72,1.65,chalk,riverine,2.29
28.32,1369.78,72.32,227.62,31.62,32.27,6.17,4.71,1.95,silt,tropical,1.79
35.95,1925.9,76.01,199.25,101.24,26.31,6.61,4.38,0.96,peat,tropical,3.3
19.35,1436.43,75.13,216.41,46.22,29.09,7.12,4.55,0.97,silt,hilly,2.25
27.83,2383.82,82.68,231.48,70.51,21.79,6.86,3.77,1.2,chalk,tropical,2.71
28.99,2467.98,93.32,260.81,73.07,40.28,6.4,2.21,1.0,sandy,tropical,2.14
37.22,266.58,32.1,294.29,63.35,40.72,7.51,3.58,1.99,chalk,arid,1.4
19.15,800.18,67.86,194.5,50.0,32.92,5.38,5.19,1.07,chalk,hilly,1.4
28.33,1316.24,86.1,259.27,29.64,50.44,6.58,2.54,0.53,peat,riverine,1.79
28.07,2631.03,70.47,250.57,40.76,12.44,6.39,2.52,1.95,chalk,tropical,1.41
27.09,878.56,46.71,267.4,51.27,50.06,8.16,4.09,1.89,silt,inland,1.58
19.43,1767.89,59.12,145.56,60.63,38.01,6.78,2.28,1.1,silt,hilly,2.35
25.49,201.9,31.54,289.16,41.98,30.2,6.73,5.15,1.29,sandy,arid,0.9
22.28,1782.62,70.03,194.76,44.59,38.13,6.5,1.57,1.22,clay,riverine,1.68
27.13,1879.66,72.43,255.52,76.44,41.08,7.01,3.51,1.21,loam,coastal,2.36
31.68,1789.27,78.56,241.9,65.57,15.2,5.04,5.38,1.54,chalk,tropical,2.83
27.16,990.24,57.91,232.95,91.97,14.31,6.51,3.0,1.45,loam,inland,1.73
23.35,581.55,44.89,284.15,53.78,30.44,5.37,2.88,1.21,silt,inland,1.04
34.02,1736.61,78.95,244.65,62.95,38.2,5.75,4.37,0.64,loam,coastal,2.82
24.97,1068.94,58.54,217.61,15.27,43.58,7.69,4.6,0.1,clay,hilly,1.26
40.34,292.03,39.28,262.96,47.99,37.52,5.6,5.07,1.37,silt,arid,2.37
26.41,2449.57,76.19,209.67,35.61,21.71,4.7,5.15,1.06,silt,tropical,2.25
32.87,1666.48,85.48,209.72,72.24,37.26,7.36,3.29,1.52,sandy,tropical,1.72
26.1,1211.24,67.06,171.47,60.34,30.32,5.38,4.12,1.25,loam,riverine,2.54
25.49,1940.74,64.27,252.88,46.82,42.1,6.56,3.15,1.25,chalk,tropical,1.89
19.32,389.76,65.49,300.73,64.75,31.55,5.84,1.63,0.27,loam,inland,1.28
24.13,1312.11,62.3,183.26,78.53,43.82,7.66,5.13,1.98,peat,hilly,2.64
28.92,1529.76,68.42,155.99,41.2,23.02,6.49,4.34,1.43,silt,coastal,1.67
19.7,1790.5,77.63,172.41,73.04,38.5,6.93,5.59,1.33,peat,hilly,2.47
32.62,177.86,37.6,251.34,53.42,39.0,6.73,4.3,1.58,loam,arid,1.58
34.43,335.92,29.07,249.61,29.81,34.26,6.22,2.61,0.1,silt,arid,1.15
28.16,2421.51,81.65,180.57,10.0,46.57,5.82,3.29,0.1,chalk,coastal,1.71
26.51,938.55,62.95,281.68,47.26,57.86,7.03,4.46,2.01,sandy,inland,2.49
25.11,1686.09,77.99,135.1,57.05,18.89,7.67,2.36,0.1,peat,riverine,1.69
28.2,2070.08,92.2,269.18,72.49,44.86,6.24,5.47,1.24,silt,coastal,2.65
26.45,2027.26,79.26,234.12,40.06,20.66,5.43,6.55,1.32,peat,riverine,2.38
33.48,177.59,38.69,296.13,75.48,29.62,6.39,5.79,1.32,peat,arid,2.08
27.05,914.32,72.89,200.74,50.19,24.28,5.04,4.6,0.35,loam,inland,2.27
11.21,1834.64,69.35,226.79,107.84,18.48,5.87,3.86,1.42,loam,hilly,2.99
28.37,180.01,41.66,350.25,75.22,34.35,6.21,4.3,1.25,chalk,arid,2.03
28.75,733.92,61.52,262.05,72.02,42.04,5.1,3.89,0.77,loam,inland,1.74
31.49,789.67,54.62,252.06,70.32,25.75,5.64,4.28,1.1,silt,inland,1.19
33.66,2362.51,71.88,202.99,99.39,41.16,5.97,1.16,0.95,peat,tropical,3.21
24.85,1094.9,77.29,171.11,82.79,36.95,5.76,4.24,0.81,clay,hilly,1.72
26.15,594.76,69.25,296.93,45.41,32.52,7.24,4.58,1.56,sandy,inland,1.7
32.25,2099.88,75.81,178.12,29.6,31.66,5.78,2.68,1.04,sandy,coastal,1.91
26.28,2270.9,76.07,205.19,68.47,27.0,7.83,2.95,0.32,peat,riverine,3.14
20.05,1396.86,61.65,182.28,53.19,9.57,5.21,3.17,0.44,chalk,hilly,1.78
15.45,1384.63,62.51,204.71,40.19,22.9,6.83,4.05,1.05,loam,hilly,1.78
32.61,224.68,31.95,322.88,34.5,20.67,7.6,1.45,1.13,chalk,arid,0.95
17.86,1628.7,69.13,246.33,45.81,50.42,6.9,3.94,2.19,silt,hilly,2.0
19.67,2089.62,68.47,195.92,49.46,18.94,5.45,3.09,1.11,chalk,hilly,0.68
29.42,1245.8,53.43,170.01,17.5,28.81,6.12,2.22,1.13,clay,tropical,1.78
16.23,1588.18,81.51,213.01,47.09,17.86,7.32,4.95,0.76,peat,hilly,1.26
26.97,1061.52,79.49,178.08,62.34,38.1,7.38,3.24,1.1,clay,riverine,2.05
28.54,1472.34,65.77,191.13,48.95,44.83,5.65,4.55,0.82,silt,riverine,1.86
28.0,1080.94,84.73,211.61,76.99,62.13,7.14,4.21,0.38,sandy,riverine,1.74
36.12,692.53,74.03,247.69,26.11,43.36,6.06,2.55,1.82,chalk,inland,1.26
27.47,1394.63,66.76,254.92,88.44,14.46,5.09,4.72,1.06,silt,coastal,2.11
28.38,2326.44,88.87,196.48,77.69,48.44,6.88,3.83,2.2,silt,riverine,3.17
28.4,1277.45,78.65,233.06,47.04,23.73,5.97,3.66,1.2,silt,tropical,2.4
25.1,2028.9,78.34,200.66,25.78,39.08,7.11,4.66,0.89,peat,tropical,1.74
24.75,2283.27,75.59,212.5,65.87,45.89,5.49,2.9,0.57,sandy,tropical,3.1
28.65,1015.96,89.9,171.55,44.57,35.43,7.2,4.29,2.2,loam,tropical,1.88
33.95,413.82,42.7,314.71,63.5,13.77,5.13,4.33,0.1,sandy,arid,1.9
27.06,2270.64,81.56,286.23,56.74,38.53,7.48,3.58,1.66,silt,tropical,2.12
36.4,398.94,40.33,278.77,72.4,40.77,8.32,1.72,1.67,sandy,arid,1.8
38.16,350.4,20.55,329.83,80.72,46.12,6.16,3.3,0.52,clay,arid,2.37
20.11,1483.83,82.87,236.74,74.45,40.91,6.22,4.08,1.64,loam,hilly,1.74
31.38,1752.52,76.41,255.85,58.15,45.06,7.39,2.72,1.31,sandy,coastal,2.2
22.52,1721.89,60.33,247.76,89.33,30.24,5.64,5.55,1.13,sandy,hilly,2.04
28.74,190.01,33.96,287.61,48.62,41.4,6.18,4.77,0.95,peat,arid,0.5
15.92,2098.18,81.13,213.09,32.98,22.43,7.23,3.75,1.34,chalk,hilly,1.39
17.26,1243.42,58.79,233.48,68.79,42.27,6.96,2.03,1.28,silt,inland,1.96
32.88,2147.35,72.92,190.72,75.55,39.13,6.25,3.54,0.85,peat,tropical,2.76
34.0,1756.44,75.39,250.2,25.0,60.45,4.94,2.55,0.77,peat,tropical,1.7
36.42,214.22,42.82,318.53,89.72,26.99,5.09,6.34,2.31,loam,arid,2.42
24.38,1660.52,78.46,223.9,26.91,49.09,6.36,6.52,1.18,loam,hilly,1.69
35.98,693.1,50.32,264.41,91.8,30.6,6.02,3.54,1.44,silt,inland,1.91
24.87,1077.09,57.95,179.78,69.34,37.63,7.81,3.34,0.54,clay,inland,2.11
29.87,2372.27,70.63,211.02,58.81,26.18,6.57,1.64,1.89,chalk,riverine,2.28
30.66,829.94,60.7,239.3,51.91,48.57,7.69,4.11,1.11,peat,inland,1.75
36.57,241.63,42.4,299.12,54.2,35.29,7.67,2.69,0.89,clay,arid,1.75
27.11,2517.09,78.06,204.16,31.95,37.26,4.5,3.63,1.63,clay,riverine,1.79
20.35,1785.78,74.63,180.37,62.45,49.4,7.14,1.52,1.57,loam,hilly,2.69
32.98,486.02,39.75,249.06,41.84,40.19,6.15,3.11,0.49,silt,inland,0.85
25.73,794.76,55.46,230.13,42.8,42.93,6.15,3.79,1.74,clay,inland,1.64
17.02,1652.11,67.02,222.15,83.78,29.24,5.96,1.98,0.59,clay,hilly,2.47
22.47,2292.99,65.41,184.72,72.01,38.7,7.68,4.17,1.02,clay,hilly,2.66
28.74,2007.85,72.02,266.05,61.44,34.12,7.32,2.55,1.56,chalk,tropical,1.99
24.2,1841.16,72.72,136.68,93.17,20.74,6.98,2.11,0.1,sandy,coastal,2.87
30.56,1824.4,69.5,200.08,49.63,37.37,5.88,2.86,0.76,peat,coastal,1.71
29.15,520.09,52.43,198.4,78.81,42.88,6.98,3.75,1.61,silt,inland,2.21
19.87,2144.86,60.16,214.51,88.99,33.61,6.06,5.08,0.66,sandy,hilly,2.48
30.11,2325.51,73.76,286.24,65.99,41.17,7.39,2.97,1.42,clay,tropical,2.47
28.87,233.16,59.28,335.13,90.36,30.3,4.91,3.07,1.21,silt,arid,1.82
26.91,1459.53,78.37,219.01,43.46,30.3,5.7,1.37,1.47,chalk,coastal,1.53
22.03,1375.37,94.98,225.14,70.68,35.82,6.74,4.1,1.06,peat,riverine,1.95
19.63,1717.08,87.03,313.18,47.34,54.19,6.49,2.41,1.63,peat,coastal,2.31
17.19,871.63,64.58,139.19,67.24,30.23,5.67,3.14,0.89,peat,hilly,1.37
34.16,395.29,42.95,290.78,48.94,37.83,7.08,3.6,1.0,clay,arid,1.54
29.73,1042.14,82.46,219.49,53.5,7.9,7.19,2.93,1.16,silt,coastal,0.96
34.03,1512.71,86.2,292.95,81.84,50.32,6.03,1.37,0.78,loam,tropical,2.02
31.1,1666.77,79.46,203.27,47.71,36.85,6.65,2.55,1.49,clay,coastal,1.9
19.96,1535.11,82.69,194.46,58.94,15.58,7.16,4.15,1.73,chalk,hilly,2.07
11.79,1911.23,61.84,194.84,73.47,53.43,6.96,4.92,1.33,silt,hilly,2.81
22.71,1728.22,85.72,229.73,88.28,35.97,5.95,4.59,1.63,chalk,riverine,1.99
20.92,1547.41,92.08,231.93,56.28,26.19,6.21,5.07,0.63,chalk,riverine,2.65
37.02,167.12,28.53,375.14,51.06,39.46,8.03,2.9,1.74,peat,arid,1.12
28.49,1513.0,90.16,275.64,32.47,30.44,6.62,3.95,1.46,peat,coastal,1.9
34.24,226.82,49.11,244.07,35.91,22.5,5.6,4.17,1.76,loam,arid,1.08
26.88,2197.58,89.6,235.81,55.73,36.09,7.09,4.42,0.73,chalk,coastal,2.15
31.47,837.1,75.85,244.5,27.09,35.37,7.34,3.32,1.64,clay,inland,1.32
26.89,1978.48,86.81,208.22,41.63,20.43,7.67,4.24,1.36,silt,coastal,2.15
17.34,1810.71,75.11,179.65,98.06,30.97,7.12,4.89,1.01,silt,hilly,2.61
21.16,1768.65,69.15,221.15,38.97,25.79,7.04,2.88,1.42,sandy,hilly,1.82
23.68,1123.55,57.05,220.58,54.05,30.91,8.06,2.82,1.4,clay,inland,1.86
24.57,1759.38,82.63,227.59,95.88,44.47,4.63,3.07,1.43,silt,coastal,3.12
28.88,2038.67,74.42,308.41,48.64,37.56,6.59,2.79,0.1,chalk,coastal,1.88
22.09,1456.11,75.45,210.67,72.23,49.65,5.92,2.98,0.1,clay,hilly,2.12
26.41,1406.65,72.35,225.32,38.56,37.45,6.31,4.39,2.44,peat,inland,1.59
22.15,1853.37,74.89,211.31,34.69,29.27,6.96,2.57,0.5,chalk,hilly,1.87
23.1,736.39,85.29,251.39,81.06,44.01,7.6,5.92,2.19,silt,inland,2.94
18.77,1554.8,40.49,168.03,52.53,53.25,6.05,1.62,1.45,silt,hilly,2.56
29.64,1671.87,75.47,212.35,57.78,28.77,7.12,3.78,1.42,sandy,tropical,2.07
23.14,680.07,89.2,218.02,78.77,42.26,8.31,2.41,1.39,chalk,coastal,1.57
36.95,339.26,55.33,330.42,87.14,30.04,6.26,2.35,1.92,sandy,arid,1.61
30.69,1634.27,84.34,196.09,63.35,39.1,6.22,5.79,1.48,chalk,tropical,2.26
20.07,1705.65,71.24,185.51,76.05,5.21,6.64,3.27,0.93,peat,hilly,1.8
26.05,717.55,58.23,215.45,72.9,33.15,6.81,4.33,1.37,peat,inland,2.13
36.37,277.41,38.13,281.38,66.7,29.99,6.6,4.04,0.1,silt,arid,1.64
29.49,958.52,48.13,302.92,56.19,30.33,6.66,4.24,2.01,loam,inland,1.47
26.91,2312.96,85.82,186.39,24.63,36.42,6.75,3.3,1.92,silt,riverine,1.1
32.04,660.56,72.09,219.32,51.51,24.82,7.12,1.62,2.03,chalk,inland,1.67
22.69,1292.63,71.7,202.65,79.98,17.64,6.84,3.96,2.43,chalk,riverine,1.96
27.24,1386.62,88.94,190.46,77.09,12.93,4.92,3.24,0.1,loam,riverine,2.08
28.16,2296.01,77.75,188.17,89.35,51.05,6.37,4.14,1.98,chalk,coastal,2.89
19.71,1491.79,61.41,218.56,42.92,28.84,6.52,5.13,1.83,silt,hilly,1.85
28.85,2711.84,57.4,177.04,46.99,35.3,6.19,4.71,1.31,loam,coastal,2.02
28.2,2021.72,76.18,211.93,46.75,15.31,8.38,4.82,1.0,sandy,riverine,2.07
35.49,907.73,61.56,225.92,44.36,40.97,5.89,2.48,1.92,loam,inland,1.45
25.19,1796.13,56.15,220.46,82.29,41.66,7.63,4.83,0.55,peat,coastal,2.77
29.52,677.64,72.58,251.96,55.66,46.63,6.97,2.75,2.29,clay,tropical,1.48
31.17,1334.96,97.82,209.78,95.51,37.14,7.06,2.54,1.6,loam,riverine,2.43
31.73,190.81,58.33,248.64,75.38,33.7,6.51,2.85,1.6,peat,inland,1.43
30.26,967.89,80.23,256.41,31.95,25.93,6.38,2.53,2.14,sandy,inland,1.38
31.71,1019.83,86.19,245.98,85.37,40.89,7.73,1.79,1.03,peat,tropical,2.1
25.11,1104.04,56.28,207.27,65.43,48.58,5.48,4.06,1.42,clay,inland,1.95
43.35,415.38,30.87,276.01,58.0,27.71,7.2,1.19,1.97,chalk,arid,1.75
33.08,495.7,30.11,232.34,115.79,9.6,5.29,4.36,0.71,chalk,arid,2.95
18.83,1349.79,65.04,214.99,86.42,44.75,5.46,3.77,1.76,silt,hilly,2.69
15.55,1812.07,57.22,194.91,67.97,33.35,7.04,2.99,0.88,loam,hilly,2.4
26.92,1457.43,72.39,172.02,92.78,29.61,5.98,5.26,1.05,silt,coastal,2.66
26.59,877.07,83.36,253.72,54.6,41.58,6.67,4.38,1.45,chalk,coastal,0.92
26.97,1385.05,69.25,123.06,86.0,24.5,7.64,4.58,1.35,clay,tropical,1.86
30.73,2637.46,83.92,296.87,48.16,41.75,6.27,3.81,0.41,peat,tropical,2.42
25.85,2353.78,61.46,260.83,44.47,42.91,7.53,2.89,1.46,silt,riverine,2.56
25.28,751.02,62.41,289.34,57.68,36.02,5.41,2.43,0.48,clay,inland,1.44
24.14,939.18,62.51,171.47,90.35,33.91,5.49,3.43,0.88,sandy,hilly,1.66
23.75,1977.22,85.13,225.1,69.75,30.97,6.73,3.31,0.79,clay,riverine,1.72
19.84,1484.64,63.86,193.8,74.73,38.88,6.37,4.57,1.92,chalk,hilly,2.76
26.82,1638.24,79.72,174.77,72.75,25.34,6.77,4.84,1.75,clay,hilly,1.75
20.24,688.57,79.93,190.63,69.09,8.62,6.55,2.67,1.97,sandy,hilly,0.89
28.02,1227.23,75.85,290.69,10.0,32.85,6.74,5.56,1.4,peat,coastal,1.14
34.28,454.08,27.84,340.42,49.81,27.33,7.79,0.65,0.99,sandy,arid,1.59
19.44,1362.86,68.99,246.08,68.64,47.17,6.52,4.92,0.1,peat,riverine,1.5
31.51,1923.86,77.63,244.93,56.92,44.17,5.12,5.38,0.66,silt,tropical,2.35
27.88,1275.62,86.57,246.87,54.89,50.15,6.96,0.59,1.93,clay,tropical,2.26
18.69,1904.11,89.83,209.37,57.05,37.42,6.75,4.1,1.53,clay,hilly,2.22
19.78,1315.58,74.12,204.18,91.58,43.58,6.96,6.31,0.22,sandy,hilly,2.45
26.7,1964.27,67.63,239.02,62.87,42.19,8.12,1.26,1.45,silt,coastal,2.47
33.72,1579.79,91.53,170.94,65.94,23.78,6.54,4.22,0.69,sandy,coastal,1.24
29.93,2354.12,75.6,256.34,54.1,29.98,7.27,3.09,0.35,clay,tropical,2.52
20.44,1612.72,56.92,144.0,64.15,29.31,6.68,3.94,0.8,silt,hilly,1.33
12.1,1871.53,70.5,177.01,32.24,24.67,7.57,0.75,1.66,peat,hilly,1.1
26.98,1402.11,85.27,174.17,62.88,22.13,5.37,2.98,0.83,chalk,riverine,2.31
26.01,2547.41,89.18,239.05,10.0,36.24,6.47,3.12,1.57,loam,tropical,1.83
27.12,1977.41,100.0,240.27,32.03,32.8,7.48,4.33,1.34,chalk,coastal,1.69
25.01,1426.26,72.08,223.4,75.59,31.77,7.32,3.11,1.89,sandy,riverine,2.12
32.26,1937.41,80.19,251.56,61.31,35.38,6.83,3.67,1.25,silt,tropical,2.24
31.94,1546.7,56.22,299.35,63.7,41.12,6.78,3.1,1.34,silt,coastal,2.12
27.04,1901.19,71.11,244.55,77.32,50.66,5.19,3.37,0.85,clay,coastal,2.21
26.76,862.51,76.91,238.79,53.18,36.53,7.29,3.79,1.07,sandy,riverine,1.25
27.01,1680.13,91.75,223.3,51.0,39.11,6.48,4.32,0.97,sandy,riverine,2.02
25.67,2115.58,84.82,200.69,65.15,20.74,6.45,2.85,1.35,sandy,coastal,2.72
15.65,744.26,81.11,200.69,44.61,39.57,6.15,2.45,1.03,sandy,hilly,2.19
27.54,2035.61,85.39,218.5,43.08,35.45,7.74,3.35,1.83,chalk,tropical,1.89
27.59,2045.11,80.31,215.84,53.69,14.8,6.48,3.35,0.79,clay,coastal,1.77
32.9,265.21,45.52,358.79,74.17,43.56,7.39,2.71,0.79,peat,arid,1.35
27.29,1512.0,69.48,183.76,65.9,49.76,6.31,4.3,0.28,sandy,coastal,1.85
28.36,1125.97,86.65,157.64,97.13,41.12,6.68,4.8,0.56,clay,coastal,2.71
24.27,1816.54,77.18,239.77,53.14,21.34,6.41,4.46,0.21,sandy,riverine,2.08
29.38,2032.16,75.87,247.7,32.41,41.27,7.65,1.34,1.89,clay,coastal,1.87
28.43,632.55,45.75,273.25,53.91,30.69,6.99,5.51,1.4,sandy,inland,1.8
25.99,1758.53,76.56,195.84,53.16,28.41,5.93,4.11,1.69,clay,riverine,2.36
33.93,252.04,40.37,295.73,25.94,29.71,6.74,2.43,1.76,clay,arid,0.5
16.39,1478.28,68.08,191.95,63.5,25.91,7.15,4.49,0.78,silt,hilly,2.22
28.78,1225.11,83.93,216.08,81.73,21.29,7.73,2.55,3.21,silt,riverine,2.09
33.02,2161.71,67.04,206.95,43.45,20.72,7.39,2.7,2.34,silt,tropical,2.07
33.12,1934.02,67.63,244.87,65.65,33.94,8.27,3.21,1.85,chalk,tropical,3.24
